Year
RD Gaikwad (CSK),2021-2021,16,16,2,635,101*,45.35,466,136.26,1,4,-,64,23,2021
F du Plessis (CSK),2021-2021,16,16,2,633,95*,45.21,458,138.20,-,6,2,60,23,2021
KL Rahul (PBKS),2021-2021,13,13,3,626,98*,62.60,451,138.80,-,6,-,48,30,2021
S Dhawan (DC),2021-2021,16,16,1,587,92,39.13,471,124.62,-,3,-,63,16,2021
GJ Maxwell (RCB),2021-2021,15,14,2,513,78,42.75,356,144.10,-,6,1,48,21,2021
SV Samson (RR),2021-2021,14,14,2,484,119,40.33,354,136.72,1,2,-,45,17,2021
PP Shaw (DC),2021-2021,15,15,-,479,82,31.93,301,159.13,-,4,-,56,18,2021
Shubman Gill (KKR),2021-2021,17,17,-,478,57,28.11,402,118.90,-,3,1,50,12,2021
MA Agarwal (PBKS),2021-2021,12,12,1,441,99*,40.09,314,140.44,-,4,1,42,18,2021
RR Pant (DC),2021-2021,16,16,4,419,58*,34.91,326,128.52,-,3,-,42,10,2021
D Padikkal (RCB),2021-2021,14,14,1,411,101*,31.61,328,125.30,1,1,2,44,14,2021
V Kohli (RCB),2021-2021,15,15,1,405,72*,28.92,339,119.46,-,3,-,43,9,2021
RA Tripathi (KKR),2021-2021,17,16,2,397,74*,28.35,283,140.28,-,2,-,41,11,2021
N Rana (KKR),2021-2021,17,16,3,383,80,29.46,314,121.97,-,2,2,34,17,2021
RG Sharma (MI),2021-2021,13,13,-,381,63,29.30,299,127.42,-,1,-,33,14,2021
VR Iyer (KKR),2021-2021,10,10,1,370,67,41.11,288,128.47,-,4,-,37,14,2021
MM Ali (CSK),2021-2021,15,15,1,357,58,25.50,260,137.30,-,1,2,31,19,2021
SA Yadav (MI),2021-2021,14,14,-,317,82,22.64,221,143.43,-,2,1,40,10,2021
AB de Villiers (RCB),2021-2021,15,14,4,313,76*,31.30,211,148.34,-,2,1,23,16,2021
Q de Kock (MI),2021-2021,11,11,1,297,70*,29.70,256,116.01,-,2,-,29,7,2021
MK Pandey (SRH),2021-2021,8,8,2,292,69*,48.66,236,123.72,-,3,-,21,10,2021
KS Williamson (SRH),2021-2021,10,10,4,266,66*,44.33,235,113.19,-,2,-,29,2,2021
AT Rayudu (CSK),2021-2021,16,13,4,257,72*,28.55,170,151.17,-,2,1,16,17,2021
JC Buttler (RR),2021-2021,7,7,-,254,124,36.28,166,153.01,1,-,-,27,13,2021
YBK Jaiswal (RR),2021-2021,10,10,-,249,50,24.90,168,148.21,-,1,1,32,10,2021
JM Bairstow (SRH),2021-2021,7,7,1,248,63*,41.33,175,141.71,-,2,-,20,15,2021
KA Pollard (MI),2021-2021,14,13,5,245,87*,30.62,165,148.48,-,1,-,16,16,2021
SO Hetmyer (DC),2021-2021,14,13,6,242,53*,34.57,144,168.05,-,1,-,19,12,2021
Ishan Kishan (MI),2021-2021,10,10,1,241,84,26.77,180,133.88,-,2,-,21,10,2021
S Dube (RR),2021-2021,9,9,1,230,64*,28.75,193,119.17,-,1,-,18,10,2021
RA Jadeja (CSK),2021-2021,16,12,9,227,62*,75.66,156,145.51,-,1,-,19,9,2021
KD Karthik (KKR),2021-2021,17,15,5,223,40,22.30,170,131.17,-,-,1,22,7,2021
DA Warner (SRH),2021-2021,8,8,-,195,57,24.37,181,107.73,-,2,1,15,6,2021
CH Gayle (PBKS),2021-2021,10,10,1,193,46,21.44,154,125.32,-,-,1,21,8,2021
KS Bharat (RCB),2021-2021,8,7,2,191,78*,38.20,156,122.43,-,1,-,10,8,2021
AD Russell (KKR),2021-2021,10,9,2,183,54,26.14,120,152.50,-,1,-,14,14,2021
SS Iyer (DC),2021-2021,8,8,3,175,47*,35.00,171,102.33,-,-,-,7,5,2021
SK Raina (CSK),2021-2021,12,11,2,160,54,17.77,128,125.00,-,1,-,13,9,2021
DJ Hooda (PBKS),2021-2021,12,11,1,160,64,16.00,123,130.08,-,1,1,9,9,2021
R Tewatia (RR),2021-2021,14,11,1,155,44,15.50,147,105.44,-,-,-,11,6,2021
M Shahrukh Khan (PBKS),2021-2021,11,10,3,153,47,21.85,114,134.21,-,-,1,9,10,2021
SPD Smith (DC),2021-2021,8,7,1,152,39,25.33,135,112.59,-,-,-,13,2,2021
E Lewis (RR),2021-2021,5,5,-,151,58,30.20,93,162.36,-,1,-,18,7,2021
JJ Roy (SRH),2021-2021,5,5,-,150,60,30.00,121,123.96,-,1,-,21,1,2021
AK Markram (PBKS),2021-2021,6,6,1,146,42,29.20,119,122.68,-,-,-,12,4,2021
KH Pandya (MI),2021-2021,13,12,2,143,39,14.30,123,116.26,-,-,-,10,6,2021
EJG Morgan (KKR),2021-2021,17,16,4,133,47*,11.08,139,95.68,-,-,4,8,6,2021
WP Saha (SRH),2021-2021,9,9,-,131,44,14.55,140,93.57,-,-,1,7,5,2021
HH Pandya (MI),2021-2021,12,11,2,127,40*,14.11,112,113.39,-,-,1,11,5,2021
DA Miller (RR),2021-2021,9,8,3,124,62,24.80,113,109.73,-,1,1,11,3,2021
SS Tiwary (MI),2021-2021,5,4,2,115,50*,57.50,97,118.55,-,1,-,10,2,2021
RV Uthappa (CSK),2021-2021,4,4,-,115,63,28.75,84,136.90,-,1,-,8,5,2021
MS Dhoni (CSK),2021-2021,16,11,4,114,18*,16.28,107,106.54,-,-,1,12,3,2021
Abdul Samad (SRH),2021-2021,11,10,1,111,28,12.33,87,127.58,-,-,1,4,8,2021
Abhishek Sharma (SRH),2021-2021,8,7,1,98,33,16.33,75,130.66,-,-,-,7,4,2021
MK Lomror (RR),2021-2021,4,4,1,94,43,31.33,73,128.76,-,-,-,3,6,2021
PJ Cummins (KKR),2021-2021,7,5,2,93,66*,31.00,56,166.07,-,1,1,5,8,2021
R Parag (RR),2021-2021,11,10,2,93,25,11.62,83,112.04,-,-,1,6,4,2021
MP Stoinis (DC),2021-2021,10,7,3,89,27*,22.25,72,123.61,-,-,1,11,1,2021
JO Holder (SRH),2021-2021,8,7,1,85,47*,14.16,72,118.05,-,-,-,2,6,2021
N Pooran (PBKS),2021-2021,12,11,-,85,32,7.72,76,111.84,-,-,4,3,5,2021
Rashid Khan (SRH),2021-2021,14,10,2,83,22,10.37,69,120.28,-,-,3,9,2,2021
PK Garg (SRH),2021-2021,5,5,-,72,29,14.40,74,97.29,-,-,1,2,3,2021
RM Patidar (RCB),2021-2021,4,4,-,71,31,17.75,62,114.51,-,-,-,3,3,2021
Lalit Yadav (DC),2021-2021,7,5,3,68,22*,34.00,73,93.15,-,-,1,7,0,2021
CH Morris (RR),2021-2021,11,7,2,67,36*,13.40,49,136.73,-,-,2,2,5,2021
KA Jamieson (RCB),2021-2021,9,7,3,65,16*,16.25,55,118.18,-,-,-,5,3,2021
Harpreet Brar (PBKS),2021-2021,7,5,5,64,25*,0.00,58,110.34,-,-,-,3,2,2021
SP Narine (KKR),2021-2021,14,10,2,62,26,7.75,47,131.91,-,-,3,3,5,2021
Shahbaz Ahmed (RCB),2021-2021,11,7,-,59,14,8.42,53,111.32,-,-,-,4,2,2021
HV Patel (RCB),2021-2021,15,8,4,59,31,14.75,46,128.26,-,-,1,6,2,2021
V Shankar (SRH),2021-2021,7,5,-,58,28,11.60,52,111.53,-,-,-,1,3,2021
SM Curran (CSK),2021-2021,9,4,1,56,34,18.66,29,193.10,-,-,-,5,3,2021
KM Jadhav (SRH),2021-2021,6,5,1,55,19,13.75,52,105.76,-,-,-,2,2,2021
CA Lynn (MI),2021-2021,1,1,-,49,49,49.00,35,140.00,-,-,-,4,3,2021
DJ Bravo (CSK),2021-2021,11,3,2,47,23,47.00,18,261.11,-,-,-,3,4,2021
Shakib Al Hasan (KKR),2021-2021,8,6,1,47,26,9.40,48,97.91,-,-,2,3,1,2021
R Ashwin (DC),2021-2021,13,5,2,44,20*,14.66,42,104.76,-,-,-,2,1,2021
M Vohra (RR),2021-2021,4,4,-,42,14,10.50,39,107.69,-,-,-,5,2,2021
LS Livingstone (RR),2021-2021,5,5,-,42,25,8.40,41,102.43,-,-,-,3,1,2021
JD Unadkat (RR),2021-2021,6,3,1,41,24,20.50,29,141.37,-,-,-,3,2,2021
AR Patel (DC),2021-2021,12,6,1,40,12,8.00,46,86.95,-,-,1,2,1,2021
Mohammad Nabi (SRH),2021-2021,3,3,-,34,17,11.33,20,170.00,-,-,-,3,2,2021
J Yadav (MI),2021-2021,5,3,1,34,23,17.00,26,130.76,-,-,-,2,1,2021
B Kumar (SRH),2021-2021,11,7,6,34,14*,34.00,30,113.33,-,-,-,3,0,2021
CJ Jordan (PBKS),2021-2021,4,2,-,32,30,16.00,21,152.38,-,-,-,1,3,2021
MC Henriques (PBKS),2021-2021,5,4,2,31,14,15.50,32,96.87,-,-,-,0,1,2021
Washington Sundar (RCB),2021-2021,6,4,-,31,10,7.75,47,65.95,-,-,-,2,0,2021
DJ Malan (PBKS),2021-2021,1,1,-,26,26,26.00,26,100.00,-,-,-,1,1,2021
GD Phillips (RR),2021-2021,3,3,1,26,14*,13.00,33,78.78,-,-,-,1,2,2021
Shivam Mavi (KKR),2021-2021,9,2,-,25,20,12.50,20,125.00,-,-,-,2,2,2021
RV Patel (DC),2021-2021,2,2,1,25,18,25.00,27,92.59,-,-,-,3,0,2021
TK Curran (DC),2021-2021,3,2,1,21,21,21.00,17,123.52,-,-,-,2,0,2021
Mohammed Siraj (RCB),2021-2021,15,4,3,20,12*,20.00,26,76.92,-,-,-,1,1,2021
Prabhsimran Singh (PBKS),2021-2021,2,2,-,19,12,9.50,23,82.60,-,-,-,1,1,2021
NT Ellis (PBKS),2021-2021,3,2,1,18,12,18.00,16,112.50,-,-,-,0,1,2021
LH Ferguson (KKR),2021-2021,8,3,3,18,18*,0.00,11,163.63,-,-,-,1,1,2021
Anmolpreet Singh (MI),2021-2021,1,1,-,16,16,16.00,14,114.28,-,-,-,2,1,2021
AF Milne (MI),2021-2021,4,3,1,16,15,8.00,17,94.11,-,-,1,0,1,2021
C Sakariya (RR),2021-2021,14,6,1,16,7,3.20,25,64.00,-,-,1,2,0,2021
JJ Bumrah (MI),2021-2021,14,7,5,16,5*,8.00,17,94.11,-,-,1,2,0,2021
CR Woakes (DC),2021-2021,3,1,1,15,15*,0.00,11,136.36,-,-,-,2,0,2021
Mandeep Singh (PBKS),2021-2021,1,1,-,15,15,15.00,14,107.14,-,-,-,2,0,2021
M Ashwin (PBKS),2021-2021,3,2,-,15,9,7.50,24,62.50,-,-,-,1,0,2021
Virat Singh (SRH),2021-2021,3,2,-,15,11,7.50,26,57.69,-,-,-,1,0,2021
JA Richardson (PBKS),2021-2021,3,2,-,15,15,7.50,24,62.50,-,-,1,2,0,2021
J Suchith (SRH),2021-2021,2,1,1,14,14*,0.00,6,233.33,-,-,-,2,1,2021
RD Chahar (MI),2021-2021,11,5,-,14,8,2.80,15,93.33,-,-,3,1,0,2021
DT Christian (RCB),2021-2021,9,7,1,14,9,2.33,24,58.33,-,-,1,1,0,2021
K Rabada (DC),2021-2021,15,3,3,13,9*,0.00,6,216.66,-,-,-,2,0,2021
Mohammed Shami (PBKS),2021-2021,14,4,3,13,9*,13.00,17,76.47,-,-,-,0,0,2021
YS Chahal (RCB),2021-2021,15,2,2,10,8*,0.00,27,37.03,-,-,-,0,0,2021
AM Rahane (DC),2021-2021,2,1,-,8,8,8.00,8,100.00,-,-,-,1,0,2021
S Kaul (SRH),2021-2021,8,2,2,8,7*,0.00,8,100.00,-,-,-,1,0,2021
Sandeep Sharma (SRH),2021-2021,7,2,1,8,8*,8.00,7,114.28,-,-,1,1,0,2021
Mustafizur Rahman (RR),2021-2021,14,5,5,8,8*,0.00,14,57.14,-,-,-,0,1,2021
Sachin Baby (RCB),2021-2021,1,1,-,7,7,7.00,17,41.17,-,-,-,0,0,2021
S Gopal (RR),2021-2021,3,2,1,7,7*,7.00,5,140.00,-,-,1,0,1,2021
DR Sams (RCB),2021-2021,2,2,1,6,3*,6.00,6,100.00,-,-,-,0,0,2021
FA Allen (PBKS),2021-2021,4,3,2,6,6,6.00,12,50.00,-,-,-,0,0,2021
Avesh Khan (DC),2021-2021,16,1,-,5,5,5.00,3,166.66,-,-,-,1,0,2021
SN Thakur (CSK),2021-2021,16,4,2,5,3*,2.50,5,100.00,-,-,1,0,0,2021
Harbhajan Singh (KKR),2021-2021,3,2,2,4,2*,0.00,4,100.00,-,-,-,0,0,2021
NM Coulter-Nile (MI),2021-2021,5,2,-,4,3,2.00,5,80.00,-,-,-,0,0,2021
TG Southee (KKR),2021-2021,3,1,-,3,3,3.00,5,60.00,-,-,-,0,0,2021
T Shamsi (RR),2021-2021,1,1,1,2,2*,0.00,4,50.00,-,-,-,0,0,2021
TL Seifert (KKR),2021-2021,1,1,-,2,2,2.00,4,50.00,-,-,-,0,0,2021
NA Saini (RCB),2021-2021,2,1,-,2,2,2.00,4,50.00,-,-,-,0,0,2021
Kartik Tyagi (RR),2021-2021,4,2,1,2,1*,2.00,4,50.00,-,-,-,0,0,2021
Arshdeep Singh (PBKS),2021-2021,12,2,2,2,1*,0.00,3,66.66,-,-,-,0,0,2021
GHS Garton (RCB),2021-2021,5,3,2,2,2*,2.00,4,50.00,-,-,1,0,0,2021
CV Varun (KKR),2021-2021,17,3,2,2,2*,2.00,4,50.00,-,-,1,0,0,2021
TH David (RCB),2021-2021,1,1,-,1,1,1.00,3,33.33,-,-,-,0,0,2021
KK Ahmed (SRH),2021-2021,7,1,-,1,1,1.00,2,50.00,-,-,-,0,0,2021
Mujeeb Ur Rahman (SRH),2021-2021,1,1,1,1,1*,0.00,1,100.00,-,-,-,0,0,2021
Ravi Bishnoi (PBKS),2021-2021,9,1,-,1,1,1.00,4,25.00,-,-,-,0,0,2021
DL Chahar (CSK),2021-2021,15,2,2,1,1*,0.00,1,100.00,-,-,-,0,0,2021
PW Hasaranga (RCB),2021-2021,2,2,1,1,1*,1.00,2,50.00,-,-,1,0,0,2021
TA Boult (MI),2021-2021,14,4,4,1,1*,0.00,4,25.00,-,-,-,0,0,2021
S Nadeem (SRH),2021-2021,1,1,-,-,-,0.00,1,0.00,-,-,1,0,0,2021
PP Chawla (MI),2021-2021,1,1,-,-,-,0.00,2,0.00,-,-,1,0,0,2021
DS Kulkarni (MI),2021-2021,1,1,1,-,0*,0.00,0,0.00,-,-,-,0,0,2021
BA Stokes (RR),2021-2021,1,1,-,-,-,0.00,3,0.00,-,-,1,0,0,2021
T Natarajan (SRH),2021-2021,2,1,1,-,0*,0.00,0,0.00,-,-,-,0,0,2021
RP Meredith (PBKS),2021-2021,5,1,1,-,0*,0.00,0,0.00,-,-,-,0,0,2021
KL Nagarkoti (KKR),2021-2021,1,1,-,-,-,0.00,2,0.00,-,-,1,0,0,2021
Anuj Rawat (RR),2021-2021,2,1,-,-,-,0.00,1,0.00,-,-,1,0,0,2021
K Yadav (RR),2021-2021,1,1,1,-,0*,0.00,4,0.00,-,-,-,0,0,2021
JDS Neesham (MI),2021-2021,3,2,-,-,-,0.00,2,0.00,-,-,2,0,0,2021
SN Khan (PBKS),2021-2021,2,2,-,-,-,0.00,4,0.00,-,-,2,0,0,2021
