Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Year
DA Warner (SRH),2019-2019,12,12,2,692,100*,69.20,481,143.86,1,8,-,57,21,2019
KL Rahul (KXIP),2019-2019,14,14,3,593,100*,53.90,438,135.38,1,6,-,49,25,2019
Q de Kock (MI),2019-2019,16,16,1,529,81,35.26,398,132.91,-,4,1,45,25,2019
S Dhawan (DC),2019-2019,16,16,1,521,97*,34.73,384,135.67,-,5,1,64,11,2019
AD Russell (KKR),2019-2019,14,13,4,510,80*,56.66,249,204.81,-,4,1,31,52,2019
CH Gayle (KXIP),2019-2019,13,13,1,490,99*,40.83,319,153.60,-,4,-,45,34,2019
RR Pant (DC),2019-2019,16,16,3,488,78*,37.53,300,162.66,-,3,-,37,27,2019
V Kohli (RCB),2019-2019,14,14,-,464,100,33.14,328,141.46,1,2,-,46,13,2019
SS Iyer (DC),2019-2019,16,16,1,463,67,30.86,386,119.94,-,3,-,41,14,2019
JM Bairstow (SRH),2019-2019,10,10,2,445,114,55.62,283,157.24,1,2,1,48,18,2019
AB de Villiers (RCB),2019-2019,13,13,3,442,82*,44.20,287,154.00,-,5,-,31,26,2019
SA Yadav (MI),2019-2019,16,15,2,424,71*,32.61,324,130.86,-,2,-,45,10,2019
MS Dhoni (CSK),2019-2019,15,12,7,416,84*,83.20,309,134.62,-,3,-,22,23,2019
CA Lynn (KKR),2019-2019,13,13,-,405,82,31.15,290,139.65,-,4,2,41,22,2019
RG Sharma (MI),2019-2019,15,15,1,405,67,28.92,315,128.57,-,2,-,52,10,2019
HH Pandya (MI),2019-2019,16,15,6,402,91,44.66,210,191.42,-,1,1,28,29,2019
SR Watson (CSK),2019-2019,17,17,-,398,96,23.41,312,127.56,-,3,3,42,20,2019
F du Plessis (CSK),2019-2019,12,12,1,396,96,36.00,321,123.36,-,3,-,36,15,2019
AM Rahane (RR),2019-2019,14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9,2019
SK Raina (CSK),2019-2019,17,17,1,383,59,23.93,314,121.97,-,3,1,45,9,2019
PA Patel (RCB),2019-2019,14,14,-,373,67,26.64,268,139.17,-,2,1,48,10,2019
PP Shaw (DC),2019-2019,16,16,-,353,99,22.06,264,133.71,-,2,1,45,9,2019
MK Pandey (SRH),2019-2019,12,11,3,344,83*,43.00,263,130.79,-,3,-,34,6,2019
N Rana (KKR),2019-2019,14,11,1,344,85*,34.40,235,146.38,-,3,1,27,21,2019
SV Samson (RR),2019-2019,12,12,2,342,102*,34.20,230,148.69,1,-,1,28,13,2019
MA Agarwal (KXIP),2019-2019,13,13,-,332,58,25.53,234,141.88,-,2,1,26,14,2019
SPD Smith (RR),2019-2019,12,10,2,319,73*,39.87,275,116.00,-,3,-,30,4,2019
JC Buttler (RR),2019-2019,8,8,-,311,89,38.87,205,151.70,-,3,-,38,14,2019
Shubman Gill (KKR),2019-2019,14,13,4,296,76,32.88,238,124.36,-,3,-,21,10,2019
RV Uthappa (KKR),2019-2019,12,11,2,282,67*,31.33,245,115.10,-,1,1,28,10,2019
AT Rayudu (CSK),2019-2019,17,17,5,282,57,23.50,303,93.06,-,1,2,20,7,2019
KA Pollard (MI),2019-2019,16,14,6,279,83,34.87,178,156.74,-,1,-,14,22,2019
KD Karthik (KKR),2019-2019,14,13,5,253,97*,31.62,173,146.24,-,2,-,22,14,2019
V Shankar (SRH),2019-2019,15,14,2,244,40*,20.33,193,126.42,-,-,-,11,12,2019
MM Ali (RCB),2019-2019,11,10,2,220,66,27.50,133,165.41,-,2,-,16,17,2019
DA Miller (KXIP),2019-2019,10,10,2,213,59*,26.62,164,129.87,-,1,-,19,7,2019
